med;trat;rep;biomasa_gr;ms;altura;n
1;T1;1;302;93.11486;35.63;1.54
1;T1;2;606.2;169.1298;43.53;2.02
1;T1;3;177;46.85294111;81.4;1.48
2;T1;1;264.7333333;60.05001634;19.8;1.877
2;T1;2;318.8333333;87.57888465;20.56666667;1.577
2;T1;3;242.2666667;57.71575782;20.16666667;1.723
1;T2;1;231;61.62010447;35.89;1.32
1;T2;2;379;105.1770336;47.97;1.64
1;T2;3;367.2;88.24268354;45.83;2.08
2;T2;1;287.3333333;64.00602393;31.405;2.223
2;T2;2;330.4666667;79.05759619;35.1;2.08
2;T2;3;227.0666667;53.04546794;38.03333334;2.02
1;T3;1;579.4;147.31245;34.42;1.66
1;T3;2;397.8;104.3160551;34.13;1.74
1;T3;3;381;106.2175563;58.73;2.48
2;T3;1;385.6666667;85.95833117;34.67333333;2.413
2;T3;2;417.8666667;91.88961462;35.33333334;2.32
2;T3;3;297.5333333;71.58421143;42.56666667;2.417
1;T4;1;302.8;67.06236717;44.9;1.96
1;T4;2;422.2;100.283948;64.87;1.8
1;T4;3;457.4;121.4907614;62.3;2.1
2;T4;1;295.4666667;71.36528694;45.23333333;2.003
2;T4;2;306.4;70.38113095;55.31666667;2.42
2;T4;3;238.6666667;55.99348882;59.21666667;2.01
