med,trat,rep,biomasa_gr,ms,altura,n
1,T1,1,302.00,0.308327351,35.63,1.540
1,T1,2,606.20,0.279,43.53,2.020
1,T1,3,177.00,0.264705882,81.40,1.480
2,T1,1,264.7333333,0.226832094,19.8,1.877
2,T1,2,318.8333333,0.274685472,20.56666667,1.577
2,T1,3,242.2666667,0.238232352,20.16666667,1.723
1,T2,1,231.00,0.266753699,35.89,1.320
1,T2,2,379.00,0.277511962,47.97,1.640
1,T2,3,367.20,0.240312319,45.83,2.080
2,T2,1,287.3333333,0.222758784,31.405,2.223
2,T2,2,330.4666667,0.239230168,35.1,2.080
2,T2,3,227.0666667,0.233611867,38.03333334,2.020
1,T3,1,579.40,0.25425,34.42,1.660
1,T3,2,397.80,0.262232416,34.13,1.740
1,T3,3,381.00,0.278786237,58.73,2.480
2,T3,1,385.6666667,0.222882449,34.67333333,2.413
2,T3,2,417.8666667,0.219901758,35.33333334,2.320
2,T3,3,297.5333333,0.240592241,42.56666667,2.417
1,T4,1,302.80,0.221474132,44.90,1.960
1,T4,2,422.20,0.237527115,64.87,1.800
1,T4,3,457.40,0.265611634,62.30,2.100
2,T4,1,295.4666667,0.241534139,45.23333333,2.003
2,T4,2,306.4,0.22970343,55.31666667,2.420
2,T4,3,238.6666667,0.23460959,59.21666667,2.010
